Id	Diff
001	00:00:00,257
002	-00:07:14,259
003	-00:10:10,885
004	-00:10:30,692
005	-00:15:03,842
006	-00:15:09,765
007	-00:15:25,492
008	-00:15:50,084
009	-00:16:06,327
010	-00:26:28,774
011	-00:26:44,140
012	-00:26:47,275
013	00:00:00,000
014	-00:25:57,724
015	-00:27:41,340
016	-00:27:41,750
017	-00:33:29,874
018	-00:32:40,262
019	-00:34:40,271
020	-00:35:07,290
021	-00:35:14,607
022	-00:35:54,285
023	-00:36:14,974
024	-00:36:15,121
025	-00:51:14,393
026	-00:51:16,358
027	-00:51:21,887
028	-00:36:31,283
029	-00:37:10,872
030	-00:39:09,107
031	-00:39:57,520
032	-00:40:08,938
033	-00:41:42,283
034	-00:41:57,524
035	-00:42:13,778
036	-00:42:19,793
037	-00:42:24,766
038	-00:42:24,766
039	-00:43:24,126
040	-00:43:31,056
041	-00:43:37,682
042	-00:44:45,753
043	-00:47:04,387
044	-00:49:59,031
045	01:40:23,544
046	01:38:38,476
047	01:36:44,504
048	01:33:03,844
049	01:33:03,398
050	01:32:47,993
051	01:38:22,868
052	01:38:21,006
053	01:38:17,905
054	01:37:54,358
055	01:37:41,643
056	01:37:27,870
057	01:37:27,668
058	01:36:48,678
059	01:36:11,615
060	01:31:20,446
061	01:31:08,762
062	01:31:08,567
063	01:21:09,321
064	01:20:32,860
065	01:16:25,512
066	01:15:03,671
067	01:12:58,628
068	01:12:58,639
069	01:12:07,407
070	01:07:01,361
071	01:04:43,111
072	01:01:58,720
073	01:01:19,317
074	00:32:36,792
075	00:56:54,175
076	00:52:43,018
077	00:52:28,835
078	00:56:50,219
079	00:31:18,812
080	01:02:06,567
081	01:02:03,363
082	01:01:49,906
083	00:29:10,122
084	02:58:50,552
085	02:58:25,536
086	02:57:11,369
087	02:56:18,401
088	02:54:51,903
089	02:54:12,610
090	02:53:50,227
091	02:53:54,404
092	02:53:14,514
093	02:53:14,515
094	02:50:17,718
095	02:48:50,301
096	02:45:37,538
097	02:33:50,034
098	02:33:02,692
099	02:49:04,266
100	02:33:49,902
101	02:33:47,672
102	02:32:31,921
103	02:32:30,776
104	02:32:04,296
105	02:31:55,000
106	02:31:09,295
107	02:31:00,193
108	02:30:29,120
109	02:25:18,820
110	02:25:16,534
111	02:25:16,540
112	02:25:14,584
113	02:32:39,973
114	02:32:37,260
115	02:32:36,940
116	02:32:31,661
117	02:32:17,441
118	02:29:14,035
119	02:28:45,076
120	02:28:01,549
121	02:27:57,637
122	02:26:57,855
123	02:26:56,350
124	02:16:30,188
125	02:16:09,258
126	02:15:21,975
127	02:16:30,447
128	02:15:26,445
129	02:15:24,632
130	02:30:16,213
131	02:30:11,938
132	02:29:08,442
133	02:26:39,374
134	02:26:37,154
135	02:26:09,330
136	02:23:55,867
137	02:10:59,598
138	02:07:40,631
139	01:49:50,333
140	02:09:11,984
